"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"MALLORCA-728-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323409/birefnet-general-lite/gap/MALLORCA-728-1.jpg","","image","jpg","","birefnet-general-lite/gap/MALLORCA-728-1","9edbbc63c2a85733f09b3b21d72674b5","MALLORCA-728-1","upload","2026-03-24T03:36:49Z"
"KERRY-604-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323498/birefnet-general-lite/gap/KERRY-604-7.jpg","","image","jpg","","birefnet-general-lite/gap/KERRY-604-7","e57ef2bc07f33ac901d2ac6494237084","KERRY-604-7","upload","2026-03-24T03:38:18Z"
"PORTER-015-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323492/birefnet-general-lite/gap/PORTER-015-5.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-015-5","6ebdbfe47b87524166ce9783f55422a1","PORTER-015-5","upload","2026-03-24T03:38:12Z"
"ELIANA-001-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323490/birefnet-general-lite/gap/ELIANA-001-4.jpg","","image","jpg","","birefnet-general-lite/gap/ELIANA-001-4","e6ef2c3be2f18f601126858913b6497b","ELIANA-001-4","upload","2026-03-24T03:38:10Z"
"MIRAMAR-186-4_1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323487/birefnet-general-lite/gap/MIRAMAR-186-4_1.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAMAR-186-4_1","3edf5f40a2375a651244be41db728c37","MIRAMAR-186-4_1","upload","2026-03-24T03:38:07Z"
"HANNAH-189-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323478/birefnet-general-lite/gap/HANNAH-189-3.jpg","","image","jpg","","birefnet-general-lite/gap/HANNAH-189-3","dddfa5687d8331dfbe7f349c4daad334","HANNAH-189-3","upload","2026-03-24T03:37:58Z"
"SMITH-790-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323474/birefnet-general-lite/gap/SMITH-790-6.jpg","","image","jpg","","birefnet-general-lite/gap/SMITH-790-6","97635c49be3028b9d570cf83fe0a452e","SMITH-790-6","upload","2026-03-24T03:37:54Z"
"ELVIE-015-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323466/birefnet-general-lite/gap/ELVIE-015-5.jpg","","image","jpg","","birefnet-general-lite/gap/ELVIE-015-5","54c4c3bb20539beb4f0626f98a5aa143","ELVIE-015-5","upload","2026-03-24T03:37:46Z"
"FERNANDO-232-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323441/birefnet-general-lite/gap/FERNANDO-232-7.jpg","","image","jpg","","birefnet-general-lite/gap/FERNANDO-232-7","2afc98caedd96ae6de2e148d7ae05fa5","FERNANDO-232-7","upload","2026-03-24T03:37:21Z"
"MARGO-203-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323428/birefnet-general-lite/gap/MARGO-203-2.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-203-2","3111b45c6589f80bfe5470911dc3c041","MARGO-203-2","upload","2026-03-24T03:37:08Z"
"ARDEN-234-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323400/birefnet-general-lite/gap/ARDEN-234-6.jpg","","image","jpg","","birefnet-general-lite/gap/ARDEN-234-6","37d4911764d562da7c4e329f3e54a975","ARDEN-234-6","upload","2026-03-24T03:36:40Z"
"MARTA-159-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323494/birefnet-general-lite/gap/MARTA-159-4.jpg","","image","jpg","","birefnet-general-lite/gap/MARTA-159-4","03184114e6d091a36f9509340b90d400","MARTA-159-4","upload","2026-03-24T03:38:14Z"
"MEG-271-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323489/birefnet-general-lite/gap/MEG-271-7.jpg","","image","jpg","","birefnet-general-lite/gap/MEG-271-7","38f25b3c2e5034c951d8195b9dc603dd","MEG-271-7","upload","2026-03-24T03:38:09Z"
"ELIANA-001-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323479/birefnet-general-lite/gap/ELIANA-001-2.jpg","","image","jpg","","birefnet-general-lite/gap/ELIANA-001-2","e67b1ea30b41cc3d9ba1746b59bdd78e","ELIANA-001-2","upload","2026-03-24T03:37:59Z"
"ELIANA-145-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323467/birefnet-general-lite/gap/ELIANA-145-2.jpg","","image","jpg","","birefnet-general-lite/gap/ELIANA-145-2","e054377dfea757d6e1924332fcb37918","ELIANA-145-2","upload","2026-03-24T03:37:47Z"
"MARTA-625-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323466/birefnet-general-lite/gap/MARTA-625-6.jpg","","image","jpg","","birefnet-general-lite/gap/MARTA-625-6","fcf7539a1ecfd5e834e4b6ee7112044e","MARTA-625-6","upload","2026-03-24T03:37:46Z"
"KIRA-124-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323457/birefnet-general-lite/gap/KIRA-124-1.jpg","","image","jpg","","birefnet-general-lite/gap/KIRA-124-1","11636d79eff4d0bce46a0183153c8c2a","KIRA-124-1","upload","2026-03-24T03:37:37Z"
